name,orig_smiles,prot_smiles,mmgbsa_score,mmgbsa_score_sem,mmpbsa_score,mmpbsa_score_sem,vina_score,qed_score
ZINCrU00000rwRSm,O=C(CCc1c(-c2ccccc2)[nH]c2c(Br)cccc12)O[C@@H]1CC[C@@H]2C[C@@H]21,O=C(CCc1c(-c2ccccc2)[nH]c2c(Br)cccc12)O[C@@H]1CC[C@@H]2C[C@@H]21,-36.61062749980942,0.3184004042847051,-30.051048333333235,0.2911639856489808,-9.217,0.5206832784184949
ZINCoU00000wtT42,Cc1cc(C)c(OC(=O)CCc2c[nH]c3cc(Cl)ccc23)cc1Br,Cc1cc(C)c(OC(=O)CCc2c[nH]c3cc(Cl)ccc23)cc1Br,-36.61029550171429,0.6577099230215351,-29.629316666666664,0.4639299185605006,-8.945,0.4433131293848464
ZINCnJ0000036f69,COC1CCC(OC(=O)CCc2c[nH]c3cc(C)ccc23)CC1,COC1CCC(OC(=O)CCc2c[nH]c3cc(C)ccc23)CC1,-36.60926744095239,0.2889370299470859,-29.54710666666669,0.2280497030935973,-8.745,0.85113803431944
ZINCqP00000io2oM,CCC(=O)Cc1ccc(OC(=O)CCc2c[nH]c3cc(C)ccc23)cc1,CCC(=O)Cc1ccc(OC(=O)CCc2c[nH]c3cc(C)ccc23)cc1,-36.60921501066669,0.4387841684081504,-30.58183333333336,0.369058406330826,-8.405,0.5032450350383156
ZINCsR0000021jgf,Cc1cc(=O)oc2cc(OC(=O)CCc3cn(C)c4ccccc34)c(Cl)cc12,Cc1cc(=O)oc2cc(OC(=O)CCc3cn(C)c4ccccc34)c(Cl)cc12,-36.60920449161907,0.4623917202176752,-31.142416904761934,0.2264718064040013,-9.689,0.2831024284929851
ZINCqJ00000huRum,CN1Cc2cc(OC(=O)CCc3c[nH]c4cc(Cl)ccc34)ccc2C1=O,CN1Cc2cc(OC(=O)CCc3c[nH]c4cc(Cl)ccc34)ccc2C1=O,-36.60903334552379,0.5652717106207021,-27.835942380952357,0.3666932504757771,-9.31,0.5600092231414938
ZINCrU00000lBYap,Cc1cc(C(C)(C)C)c(C)cc1OC(=O)CCc1c(C)[nH]c2ccccc12,Cc1cc(C(C)(C)C)c(C)cc1OC(=O)CCc1c(C)[nH]c2ccccc12,-36.608396881714256,0.2163819912293684,-30.37950357142854,0.2031337396384035,-9.505,0.4610224823569767
ZINCpF00000t5sGW,Cc1ccnc(O)c1NC(=O)c1[nH]c2c(Br)cccc2c1CCCO,Cc1ccnc(O)c1NC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-36.60808999047622,0.5399829850099125,-30.482397619047667,0.5232201413360693,-7.317,0.523164232667315
ZINCtT00000PVQWE,Cc1nc(C(F)(F)F)ccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,Cc1nc(C(F)(F)F)ccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-36.60800602685711,0.5242982685130592,-29.592488333333307,0.524065387196199,-9.159,0.5001934033834681
ZINCpP00000IX0AA,CCN(C(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1ccccc1,CCN(C(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1ccccc1,-36.607443624190495,0.60037881885752,-29.14449595238097,0.4715852286808024,-8.618,0.6381880620576271
ZINCju000009SchO,Cc1c(C(=O)OC/C=C/CN)[nH]c2c(C)cccc12,Cc1c(C(=O)OC/C=C/CN)[nH]c2c(C)cccc12,-36.60735947809521,0.2964621288106685,-30.01576714285712,0.3281557908776119,-8.203,0.6535297784542565
ZINCqP000001gRGf,Cc1ccc2c(CCC(=O)Oc3cccc4c3OC(C)(C)O4)c[nH]c2c1,Cc1ccc2c(CCC(=O)Oc3cccc4c3OC(C)(C)O4)c[nH]c2c1,-36.60671769942862,0.3321289166437844,-29.625084761904816,0.2049568057936953,-9.885,0.5543940864509366
ZINCrU00000kwbCa,COc1ccc2c(c1)[C@H](OC(=O)C[C@H](C)c1c[nH]c3ccccc13)CCC2,COc1ccc2c(c1)[C@H](OC(=O)C[C@H](C)c1c[nH]c3ccccc13)CCC2,-36.606461115619055,0.5032696499811254,-29.88402071428573,0.3063249928502333,-10.144,0.6266389251973729
ZINCqR00000B0zCK,O=C(O[C@H]1CCc2ccccc21)c1[nH]c2c(Br)cccc2c1CCCO,O=C(O[C@H]1CCc2ccccc21)c1[nH]c2c(Br)cccc2c1CCCO,-36.60630985390479,0.5579437657293139,-28.680384761904797,0.5411105109184744,-9.252,0.5953499673979405
ZINCtr000007rqAw,CCOC(=O)CCc1c(C(=O)OCC)[nH]c2c(N3CC[C@@H](C(N)=O)C3)cccc12,CCOC(=O)CCc1c(C(=O)OCC)[nH]c2c(N3CC[C@@H](C(N)=O)C3)cccc12,-36.606287339619016,0.3653829408731032,-28.36283095238092,0.2311875799783397,-7.583,0.6552046861073139
ZINCpE00000sh7Bq,COCC1(CCNC(=O)c2[nH]c3c(Br)cccc3c2CCCO)CC1,COCC1(CCNC(=O)c2[nH]c3c(Br)cccc3c2CCCO)CC1,-36.606261906666674,0.64200978445702,-27.19376428571429,0.53567636462293,-7.52,0.5944787532000911
ZINCps00000sfTQu,C[C@@H]1CC[C@H](NC(=O)c2[nH]c3c(Br)cccc3c2CCCO)C(=O)N1,C[C@@H]1CC[C@H](NC(=O)c2[nH]c3c(Br)cccc3c2CCCO)C(=O)N1,-36.60542989161903,0.6209771153320678,-26.578235238095225,0.432719632825021,-8.208,0.611506831228652
ZINCqL00000t5J8W,C[C@H](CC(=O)O[C@H]1[C@H]2CC[C@H](C2)[C@H]1CN(C)C)c1c[nH]c2ccccc12,C[C@H](CC(=O)O[C@H]1[C@H]2CC[C@H](C2)[C@H]1CN(C)C)c1c[nH]c2ccccc12,-36.605220722476105,0.7104545459810999,-27.0898273809523,0.3602591178605407,-8.741,0.7916455617379656
ZINCrU00000oTZRy,O=C(CCc1c[nH]c2cc(Cl)ccc12)O[C@H]1CCCc2c(F)cc(F)cc21,O=C(CCc1c[nH]c2cc(Cl)ccc12)O[C@H]1CCCc2c(F)cc(F)cc21,-36.60514941390478,0.7411636052716375,-31.736594523809536,0.50061999479137,-10.014,0.5854210261553258
ZINCmH000008zflU,Cc1cnc(COC(=O)CCc2c[nH]c3cc(Cl)ccc23)o1,Cc1cnc(COC(=O)CCc2c[nH]c3cc(Cl)ccc23)o1,-36.60459524628574,1.0067943819102445,-29.08782714285716,0.7796967645187,-8.183,0.72658269239803
ZINCpw00000CTnfU,O=C(c1[nH]c2c(Br)cccc2c1CCCO)N1CCSC[C@H](CO)C1,O=C(c1[nH]c2c(Br)cccc2c1CCCO)N1CCSC[C@H](CO)C1,-36.60423724571437,0.3550366787276894,-28.69306071428581,0.2726770288488089,-7.402,0.6860335947317885
